Host Team,Away Team,Winner,Margin,Ground,Match Date
Australia,West Indies,West Indies,10 wickets,Melbourne,"Dec 29, 1979 - Jan 1, 1980"
Australia,England,Australia,6 wickets,Sydney,"Jan 4-8, 1980"
India,Pakistan,India,10 wickets,Chennai,"Jan 15-20, 1980"
Australia,West Indies,West Indies,408 runs,Adelaide,"Jan 26-30, 1980"
India,Pakistan,drawn,,Kolkata,"Jan 29-Feb 3, 1980"
Australia,England,Australia,8 wickets,Melbourne,"Feb 1-6, 1980"
New Zealand,West Indies,New Zealand,1 wicket,Dunedin,"Feb 8-13, 1980"
India,England,England,10 wickets,Mumbai,"Feb 15-19, 1980"
New Zealand,West Indies,drawn,,Christchurch,"Feb 22-27, 1980"
Pakistan,Australia,Pakistan,7 wickets,Karachi,"Feb 27-Mar 2, 1980"
New Zealand,West Indies,drawn,,Auckland,"Feb 29-Mar 5, 1980"
Pakistan,Australia,drawn,,Faisalabad,"Mar 6-11, 1980"
Pakistan,Australia,drawn,,Lahore,"Mar 18-23, 1980"
England,West Indies,West Indies,2 wickets,Nottingham,"Jun 5-10, 1980"
England,West Indies,drawn,,Lord's,"Jun 19-24, 1980"
England,West Indies,drawn,,Manchester,"Jul 10-15, 1980"
England,West Indies,drawn,,The Oval,"Jul 24-29, 1980"
England,West Indies,drawn,,Leeds,"Aug 7-12, 1980"
England,Australia,drawn,,Lord's,"Aug 28-Sep 2, 1980"
Pakistan,West Indies,drawn,,Lahore,"Nov 24-29, 1980"
Australia,New Zealand,Australia,10 wickets,Brisbane,"Nov 28-30, 1980"
Pakistan,West Indies,West Indies,156 runs,Faisalabad,"Dec 8-12, 1980"
Australia,New Zealand,Australia,8 wickets,Perth,"Dec 12-14, 1980"
Pakistan,West Indies,drawn,,Karachi,"Dec 22-27, 1980"
Australia,New Zealand,drawn,,Melbourne,"Dec 26-30, 1980"
Pakistan,West Indies,drawn,,Multan,"Dec 30, 1980 - Jan 4, 1981"
